source,target,context
A Debt Ledger Entry of type {0} already exists for period {1} on contract {2} ({3}).,Ya existe un Registro de Deuda de tipo {0} para el período {1} en el contrato {2} ({3}).,
Amount must be greater than zero to create a Debt Ledger Entry.,El monto debe ser mayor a cero para crear un Registro de Deuda.,
Address Reference,Referencia de Dirección,
Authorized By,Autorizado Por,
Billing Basis,Base de Facturación,
Block,Bloque,
Charged,Cobrado,
Contract,Contrato,
DELINQUENCY NOTICE,AVISO DE MORA,
Date,Fecha,
Document generated by Qota System on,Documento generado por el Sistema Qota el,
Due Date,Fecha de Vencimiento,
House,Casa,
House No.,Casa No.,
ID,Identificación,
No outstanding debts found.,No se encontraron deudas pendientes.,
Outstanding,Pendiente,
Paid,Pagado,
Period,Período,
Ref,Ref,
Sector,Sector,
Signature and Stamp,Firma y Sello,
Subscriber,Abonado,
"Subscriber {0}, holder of contract {1}, is hereby notified of an outstanding balance of","El abonado {0}, titular del contrato {1}, se le notifica que presenta un saldo pendiente de",
Total Outstanding,Total Pendiente,
Type,Tipo,
WATER BOARD,JUNTA DE AGUA,
Water Service,Servicio de Agua,
We kindly request that payment be settled at the water board office as soon as possible to avoid suspension of the water service.,Se le solicita cancelar su deuda en las oficinas de la junta de agua a la brevedad posible para evitar la suspensión del servicio.,
Debt refinanced successfully. Down payment and installments are now active in the ledger.,Deuda refinanciada exitosamente. La prima y las cuotas ya están activas en el registro.,
No executed suspension found for this contract.,No se encontró una suspensión ejecutada para este contrato.,
Refinancing Down Payment,Prima de Refinanciamiento,
Refinancing Down Payment — {0},Prima de Refinanciamiento — {0},
Refinancing Installment,Cuota de Refinanciamiento,
Refinancing Installment — {0},Cuota de Refinanciamiento — {0},
Suspension Type,Tipo de Suspensión,
Reason,Razón,
Outstanding Debt,Deuda Pendiente,
Administrative,Administrativo,
By Request,A Solicitud,
Arrears,Endeudamiento,
Fraud / Bypass,Fraude / Derivación,
Sanction,Sanción,
Maintenance,Mantenimiento,
Other,Otro,
Subscriber Request,Solicitud del Abonado,
Reconnection Fee,Tarifa de Reconexión,
Free Reconnection,Reconexión Gratuita,
Reconnection for contract,Reconexión del contrato,
Previous suspension,Suspensión anterior,
"Cannot pay the Reconnection Fee while there are outstanding debts not included in this receipt: {0}. Include all pending debts in this payment or create a Debt Refinancing first.","No se puede pagar la Tarifa de Reconexión mientras existan deudas pendientes no incluidas en este recibo: {0}. Incluya todas las deudas pendientes en este pago o cree un Refinanciamiento de Deuda primero.",
Transactions,Transacciones,
Auto Billing,Facturación Automática,
"Auto Billing: Billing Year Not Found",Auto Facturación: Año de Facturación No Encontrado,
"No open Billing Year found for {0}. Create an open Billing Year for this period or disable Auto Billing in Billing Settings.","No se encontró un Año de Facturación abierto para {0}. Cree un Año de Facturación abierto para este período o desactive la Facturación Automática en Configuración de Facturación.",
"Auto Billing: Cycle Creation Failed",Auto Facturación: Error al Crear Ciclo,
"If enabled, the system will automatically create and process the billing cycle for the previous month. Runs weekly to ensure timely execution even if the scheduler fires late.","Si está habilitado, el sistema creará y procesará automáticamente el ciclo de facturación del mes anterior. Se ejecuta semanalmente para asegurar la ejecución oportuna.",
DEBT REFINANCING AGREEMENT,ACUERDO DE REFINANCIAMIENTO DE DEUDA,
Original Debt,Deuda Original,
Down Payment,Prima,
Amount to Finance,Monto a Financiar,
Number of Installments,Cantidad de Cuotas,
Monthly Installment,Cuota Mensual,
First Installment Date,Fecha de Primera Cuota,
Amount,Monto,
Status,Estado,
Billed,Facturado,
Pending,Pendiente,
Total Financed,Total Financiado,
"Subscriber {0}, holder of contract {1}, agrees to refinance an outstanding debt of","El abonado {0}, titular del contrato {1}, acuerda refinanciar una deuda pendiente de",
A down payment of {0} is due immediately.,Una prima de {0} se debe pagar de inmediato.,
"The remaining balance of {0} will be paid in {1} monthly installments of {2}, starting on {3}.","El saldo restante de {0} se pagará en {1} cuotas mensuales de {2}, a partir del {3}.",
Failure to comply with the payment schedule may result in suspension of the water service.,El incumplimiento del plan de pago puede resultar en la suspensión del servicio de agua.,
Signature,Firma,
Refinancing Summary,Resumen de Refinanciamiento,
PAYMENT RECEIPT,RECIBO DE PAGO,
Payment Concept,Concepto de Pago,
Description,Descripción,
Mode of Payment,Modo de Pago,
Reference No.,No. de Referencia,
Advance Balance,Saldo a Favor,
Remaining Debt,Deuda Restante,
TOTAL PAID,TOTAL PAGADO,
Remarks,Observaciones,
Received By,Recibido Por,
Generated on,Generado el,
Thank you for your payment.,Gracias por su pago.,
Customer Signature,Firma del Cliente,
Accepted,Aceptado,
Customer Details,Datos del Cliente,
Payment Details,Datos del Pago,
SERVICE RECONNECTION ORDER,ORDEN DE RECONEXIÓN DEL SERVICIO,
Reconnection Details,Detalles de Reconexión,
Previous Suspension,Suspensión Anterior,
Execution Date,Fecha de Ejecución,
Initial Reading,Lectura Inicial,
Technician,Técnico,
SERVICE CONTRACT,CONTRATO DE SERVICIO,
Contract Details,Detalles del Contrato,
Service Category,Categoría de Servicio,
Start Date,Fecha de Inicio,
Meter ID,ID del Medidor,
Cistern,Cisterna,
Yes,Sí,
Suspended Since,Suspendido Desde,
Active,Activo,
Suspended,Suspendido,
CONNECTION BILL,FACTURA DE CONEXIÓN,
Connection Details,Detalles de Conexión,
Unpaid,No Pagado
